,名称,类型,数据来源,频率,源数据映射,是否默认获取,type
138,name,object,bond_blk,NA,,True,cb
139,price,object,bond_blk,NA,,True,cb
140,vol,object,bond_blk,NA,,True,cb
141,amount,object,bond_blk,NA,,True,cb
142,trade_date,object,bond_blk_detail,NA,,True,cb
143,ts_code,object,bond_blk_detail,NA,,True,cb
144,name,object,bond_blk_detail,NA,,True,cb
145,price,object,bond_blk_detail,NA,,True,cb
146,vol,object,bond_blk_detail,NA,,True,cb
147,amount,object,bond_blk_detail,NA,,True,cb
148,buy_dp,object,bond_blk_detail,NA,,True,cb
149,sell_dp,object,bond_blk_detail,NA,,True,cb
150,trade_date,object,yc_cb,NA,,True,cb
151,ts_code,object,yc_cb,NA,,True,cb
152,curve_name,object,yc_cb,NA,,True,cb
153,curve_type,object,yc_cb,NA,,True,cb
154,curve_term,object,yc_cb,NA,,True,cb
155,yield,object,yc_cb,NA,,True,cb
156,date,object,eco_cal,NA,,True,cb
157,time,object,eco_cal,NA,,True,cb
158,currency,object,eco_cal,NA,,True,cb
159,country,object,eco_cal,NA,,True,cb
160,event,object,eco_cal,NA,,True,cb
161,value,object,eco_cal,NA,,True,cb
162,pre_value,object,eco_cal,NA,,True,cb
163,fore_value,object,eco_cal,NA,,True,cb
0,ts_code,object,fx_obasic,NA,,True,fx
1,name,object,fx_obasic,NA,,True,fx
2,classify,object,fx_obasic,NA,,True,fx
3,exchange,object,fx_obasic,NA,,True,fx
4,min_unit,object,fx_obasic,NA,,True,fx
5,max_unit,object,fx_obasic,NA,,True,fx
6,pip,object,fx_obasic,NA,,True,fx
7,pip_cost,object,fx_obasic,NA,,True,fx
8,traget_spread,object,fx_obasic,NA,,True,fx
9,min_stop_distance,object,fx_obasic,NA,,True,fx
10,trading_hours,object,fx_obasic,NA,,True,fx
11,break_time,object,fx_obasic,NA,,True,fx
12,ts_code,object,fx_daily,daily,,True,fx
13,trade_date,object,fx_daily,daily,,True,fx
14,bid_open,object,fx_daily,daily,,True,fx
15,bid_close,object,fx_daily,daily,,True,fx
16,bid_high,object,fx_daily,daily,,True,fx
17,bid_low,object,fx_daily,daily,,True,fx
18,ask_open,object,fx_daily,daily,,True,fx
19,ask_close,object,fx_daily,daily,,True,fx
20,ask_high,object,fx_daily,daily,,True,fx
21,ask_low,object,fx_daily,daily,,True,fx
22,tick_qty,object,fx_daily,daily,,True,fx
23,exchange,object,fx_daily,daily,,False,fx
0,ts_code,object,hk_basic,NA,,True,hk
1,name,object,hk_basic,NA,,True,hk
2,fullname,object,hk_basic,NA,,True,hk
3,enname,object,hk_basic,NA,,True,hk
4,cn_spell,object,hk_basic,NA,,True,hk
5,market,object,hk_basic,NA,,True,hk
6,list_status,object,hk_basic,NA,,True,hk
7,list_date,object,hk_basic,NA,,True,hk
8,delist_date,object,hk_basic,NA,,True,hk
9,trade_unit,object,hk_basic,NA,,True,hk
10,isin,object,hk_basic,NA,,True,hk
11,curr_type,object,hk_basic,NA,,True,hk
12,cal_date,object,hk_tradecal,NA,,True,hk
13,is_open,int64,hk_tradecal,NA,,True,hk
14,pretrade_date,object,hk_tradecal,NA,,True,hk
15,ts_code,object,hk_daily,daily,,True,hk
16,trade_date,object,hk_daily,daily,,True,hk
17,open,object,hk_daily,daily,,True,hk
18,high,object,hk_daily,daily,,True,hk
19,low,object,hk_daily,daily,,True,hk
20,close,object,hk_daily,daily,,True,hk
21,pre_close,object,hk_daily,daily,,True,hk
22,change,object,hk_daily,daily,,True,hk
23,pct_chg,object,hk_daily,daily,,True,hk
24,vol,object,hk_daily,daily,,True,hk
25,amount,object,hk_daily,daily,,True,hk
0,ts_code,object,us_basic,NA,,True,us
1,name,object,us_basic,NA,,True,us
2,enname,object,us_basic,NA,,False,us
3,classify,object,us_basic,NA,,True,us
4,list_date,object,us_basic,NA,,True,us
5,delist_date,object,us_basic,NA,,True,us
6,cal_date,object,us_tradecal,NA,,True,us
7,is_open,int64,us_tradecal,NA,,True,us
8,pretrade_date,object,us_tradecal,NA,,True,us
9,ts_code,object,us_daily,daily,,True,us
10,trade_date,object,us_daily,daily,,True,us
11,close,object,us_daily,daily,,True,us
12,open,object,us_daily,daily,,True,us
13,high,object,us_daily,daily,,True,us
14,low,object,us_daily,daily,,True,us
15,pre_close,object,us_daily,daily,,True,us
16,change,object,us_daily,daily,,False,us
17,pct_change,object,us_daily,daily,,True,us
18,vol,object,us_daily,daily,,True,us
19,amount,object,us_daily,daily,,True,us
20,vwap,object,us_daily,daily,,True,us
21,turnover_ratio,object,us_daily,daily,,False,us
22,total_mv,object,us_daily,daily,,False,us
23,pe,object,us_daily,daily,,False,us
24,pb,object,us_daily,daily,,False,us
0,date,object,shibor,NA,,True,macro
1,on,float64,shibor,NA,,True,macro
2,1w,float64,shibor,NA,,True,macro
3,2w,float64,shibor,NA,,True,macro
4,1m,float64,shibor,NA,,True,macro
5,3m,float64,shibor,NA,,True,macro
6,6m,float64,shibor,NA,,True,macro
7,9m,float64,shibor,NA,,True,macro
8,1y,float64,shibor,NA,,True,macro
9,date,object,shibor_quote,NA,,True,macro
10,bank,object,shibor_quote,NA,,True,macro
11,on_b,float64,shibor_quote,NA,,True,macro
12,on_a,float64,shibor_quote,NA,,True,macro
13,1w_b,float64,shibor_quote,NA,,True,macro
14,1w_a,float64,shibor_quote,NA,,True,macro
15,2w_b,float64,shibor_quote,NA,,True,macro
16,2w_a,float64,shibor_quote,NA,,True,macro
17,1m_b,float64,shibor_quote,NA,,True,macro
18,1m_a,float64,shibor_quote,NA,,True,macro
19,3m_b,float64,shibor_quote,NA,,True,macro
20,3m_a,float64,shibor_quote,NA,,True,macro
21,6m_b,float64,shibor_quote,NA,,True,macro
22,6m_a,float64,shibor_quote,NA,,True,macro
23,9m_b,float64,shibor_quote,NA,,True,macro
24,9m_a,float64,shibor_quote,NA,,True,macro
25,1y_b,float64,shibor_quote,NA,,True,macro
26,1y_a,float64,shibor_quote,NA,,True,macro
27,date,object,shibor_lpr,NA,,True,macro
28,1y,float64,shibor_lpr,NA,,True,macro
29,5y,float64,shibor_lpr,NA,,True,macro
30,date,object,libor,NA,,True,macro
31,curr_type,object,libor,NA,,True,macro
32,on,float64,libor,NA,,True,macro
33,1w,float64,libor,NA,,True,macro
34,1m,float64,libor,NA,,True,macro
35,2m,float64,libor,NA,,True,macro
36,3m,float64,libor,NA,,True,macro
37,6m,float64,libor,NA,,True,macro
38,12m,float64,libor,NA,,True,macro
39,date,object,hibor,NA,,True,macro
40,on,float64,hibor,NA,,True,macro
41,1w,float64,hibor,NA,,True,macro
42,2w,float64,hibor,NA,,True,macro
43,1m,float64,hibor,NA,,True,macro
44,2m,float64,hibor,NA,,True,macro
45,3m,float64,hibor,NA,,True,macro
46,6m,float64,hibor,NA,,True,macro
47,12m,float64,hibor,NA,,True,macro
48,date,object,wz_index,NA,,True,macro
49,comp_rate,float64,wz_index,NA,,True,macro
50,center_rate,float64,wz_index,NA,,True,macro
51,micro_rate,float64,wz_index,NA,,True,macro
52,cm_rate,float64,wz_index,NA,,True,macro
53,sdb_rate,float64,wz_index,NA,,True,macro
54,om_rate,float64,wz_index,NA,,True,macro
55,aa_rate,float64,wz_index,NA,,True,macro
56,m1_rate,float64,wz_index,NA,,True,macro
57,m3_rate,float64,wz_index,NA,,True,macro
58,m6_rate,float64,wz_index,NA,,True,macro
59,m12_rate,float64,wz_index,NA,,True,macro
60,long_rate,float64,wz_index,NA,,True,macro
61,date,object,gz_index,NA,,True,macro
62,d10_rate,float64,gz_index,NA,,True,macro
63,m1_rate,float64,gz_index,NA,,True,macro
64,m3_rate,float64,gz_index,NA,,True,macro
65,m6_rate,float64,gz_index,NA,,True,macro
66,m12_rate,float64,gz_index,NA,,True,macro
67,long_rate,float64,gz_index,NA,,True,macro
68,quarter,object,cn_gdp,NA,,True,macro
69,gdp,float64,cn_gdp,NA,,True,macro
70,gdp_yoy,float64,cn_gdp,NA,,True,macro
71,pi,float64,cn_gdp,NA,,True,macro
72,pi_yoy,float64,cn_gdp,NA,,True,macro
73,si,float64,cn_gdp,NA,,True,macro
74,si_yoy,float64,cn_gdp,NA,,True,macro
75,ti,float64,cn_gdp,NA,,True,macro
76,ti_yoy,float64,cn_gdp,NA,,True,macro
77,month,object,cn_cpi,NA,,True,macro
78,nt_val,float64,cn_cpi,NA,,True,macro
79,nt_yoy,float64,cn_cpi,NA,,True,macro
80,nt_mom,float64,cn_cpi,NA,,True,macro
81,nt_accu,float64,cn_cpi,NA,,True,macro
82,town_val,float64,cn_cpi,NA,,True,macro
83,town_yoy,float64,cn_cpi,NA,,True,macro
84,town_mom,float64,cn_cpi,NA,,True,macro
85,town_accu,float64,cn_cpi,NA,,True,macro
86,cnt_val,float64,cn_cpi,NA,,True,macro
87,cnt_yoy,float64,cn_cpi,NA,,True,macro
88,cnt_mom,float64,cn_cpi,NA,,True,macro
89,cnt_accu,float64,cn_cpi,NA,,True,macro
90,month,object,cn_ppi,NA,,True,macro
91,ppi_yoy,float64,cn_ppi,NA,,True,macro
92,ppi_mp_yoy,float64,cn_ppi,NA,,True,macro
93,ppi_mp_qm_yoy,float64,cn_ppi,NA,,True,macro
94,ppi_mp_rm_yoy,float64,cn_ppi,NA,,True,macro
95,ppi_mp_p_yoy,float64,cn_ppi,NA,,True,macro
96,ppi_cg_yoy,float64,cn_ppi,NA,,True,macro
97,ppi_cg_f_yoy,float64,cn_ppi,NA,,True,macro
98,ppi_cg_c_yoy,float64,cn_ppi,NA,,True,macro
99,ppi_cg_adu_yoy,float64,cn_ppi,NA,,True,macro
100,ppi_cg_dcg_yoy,float64,cn_ppi,NA,,True,macro
101,ppi_mom,float64,cn_ppi,NA,,True,macro
102,ppi_mp_mom,float64,cn_ppi,NA,,True,macro
103,ppi_mp_qm_mom,float64,cn_ppi,NA,,True,macro
104,ppi_mp_rm_mom,float64,cn_ppi,NA,,True,macro
105,ppi_mp_p_mom,float64,cn_ppi,NA,,True,macro
106,ppi_cg_mom,float64,cn_ppi,NA,,True,macro
107,ppi_cg_f_mom,float64,cn_ppi,NA,,True,macro
108,ppi_cg_c_mom,float64,cn_ppi,NA,,True,macro
109,ppi_cg_adu_mom,float64,cn_ppi,NA,,True,macro
110,ppi_cg_dcg_mom,float64,cn_ppi,NA,,True,macro
111,ppi_accu,float64,cn_ppi,NA,,True,macro
112,ppi_mp_accu,float64,cn_ppi,NA,,True,macro
113,ppi_mp_qm_accu,float64,cn_ppi,NA,,True,macro
114,ppi_mp_rm_accu,float64,cn_ppi,NA,,True,macro
115,ppi_mp_p_accu,float64,cn_ppi,NA,,True,macro
116,ppi_cg_accu,float64,cn_ppi,NA,,True,macro
117,ppi_cg_f_accu,float64,cn_ppi,NA,,True,macro
118,ppi_cg_c_accu,float64,cn_ppi,NA,,True,macro
119,ppi_cg_adu_accu,float64,cn_ppi,NA,,True,macro
120,ppi_cg_dcg_accu,float64,cn_ppi,NA,,True,macro
121,month,object,cn_m,NA,,True,macro
122,m0,float64,cn_m,NA,,True,macro
123,m0_yoy,float64,cn_m,NA,,True,macro
124,m0_mom,float64,cn_m,NA,,True,macro
125,m1,float64,cn_m,NA,,True,macro
126,m1_yoy,float64,cn_m,NA,,True,macro
127,m1_mom,float64,cn_m,NA,,True,macro
128,m2,float64,cn_m,NA,,True,macro
129,m2_yoy,float64,cn_m,NA,,True,macro
130,m2_mom,float64,cn_m,NA,,True,macro
131,month,object,sf_month,NA,,True,macro
132,inc_month,float64,sf_month,NA,,True,macro
133,inc_cumval,float64,sf_month,NA,,True,macro
134,stk_endval,float64,sf_month,NA,,True,macro
135,date,object,us_tycr,NA,,True,macro
136,m1,object,us_tycr,NA,,True,macro
137,m2,object,us_tycr,NA,,True,macro
138,m3,float64,us_tycr,NA,,True,macro
139,m6,float64,us_tycr,NA,,True,macro
140,y1,float64,us_tycr,NA,,True,macro
141,y2,float64,us_tycr,NA,,True,macro
142,y3,float64,us_tycr,NA,,True,macro
143,y5,float64,us_tycr,NA,,True,macro
144,y7,float64,us_tycr,NA,,True,macro
145,y10,float64,us_tycr,NA,,True,macro
146,y20,object,us_tycr,NA,,True,macro
147,y30,float64,us_tycr,NA,,True,macro
148,date,object,us_trycr,NA,,True,macro
149,y5,float64,us_trycr,NA,,True,macro
150,y7,float64,us_trycr,NA,,True,macro
151,y10,float64,us_trycr,NA,,True,macro
152,y20,float64,us_trycr,NA,,True,macro
153,y30,object,us_trycr,NA,,True,macro
154,date,object,us_tbr,NA,,True,macro
155,w4_bd,float64,us_tbr,NA,,True,macro
156,w4_ce,float64,us_tbr,NA,,True,macro
157,w8_bd,object,us_tbr,NA,,True,macro
158,w8_ce,object,us_tbr,NA,,True,macro
159,w13_bd,float64,us_tbr,NA,,True,macro
160,w13_ce,float64,us_tbr,NA,,True,macro
161,w26_bd,float64,us_tbr,NA,,True,macro
162,w26_ce,float64,us_tbr,NA,,True,macro
163,w52_bd,float64,us_tbr,NA,,True,macro
164,w52_ce,float64,us_tbr,NA,,True,macro
165,date,object,us_tltr,NA,,True,macro
166,ltc,float64,us_tltr,NA,,True,macro
167,cmt,float64,us_tltr,NA,,True,macro
168,e_factor,object,us_tltr,NA,,True,macro
169,date,object,us_trltr,NA,,True,macro
170,ltr_avg,float64,us_trltr,NA,,True,macro
